station_id,station_name,city,district,lat,lon,update_time,rain_daily,rain_1hr,rain_10min,rain_24hr
C0AJ60,六塊厝,新北市,淡水區,25.240002,121.448102,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,4.5
C0AJ70,田寮,新北市,三芝區,25.2698,121.488597,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,3.0
C0AJ80,板橋,新北市,板橋區,25.0111,121.448716,2026-04-25T23:00:00+08:00,3.0,0.0,0.0,3.5
81AJ30,華梵大學,新北市,石碇區,24.982222,121.690278,2026-04-25T23:00:00+08:00,9.5,0.5,0.5,10.5
81AJ20,東山,新北市,汐止區,25.054444,121.696389,2026-04-25T23:00:00+08:00,10.5,0.5,0.5,11.5
CAA990,國一N039K,新北市,泰山區,25.064433,121.38197,2026-04-25T23:00:00+08:00,4.0,0.0,0.0,4.5
C2A920,富貴角,新北市,石門區,25.263783,121.56525,2026-04-25T23:00:00+08:00,12.5,0.0,0.0,13.0
C2A880,福隆,新北市,貢寮區,25.017842,121.94208,2026-04-25T23:00:00+08:00,11.5,0.5,0.0,12.0
C2A540,四堵,新北市,坪林區,24.8926,121.74573,2026-04-25T23:00:00+08:00,6.0,0.0,0.0,6.5
C2A560,福山,新北市,烏來區,24.776203,121.50281,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,4.5
C2A660,瑞芳,新北市,瑞芳區,25.113169,121.80114,2026-04-25T23:00:00+08:00,11.0,0.0,0.0,11.5
C2A650,火燒寮,新北市,平溪區,25.002719,121.74289,2026-04-25T23:00:00+08:00,12.5,0.5,0.0,13.5
CAAD60,國五S005K,新北市,石碇區,24.996414,121.65193,2026-04-25T23:00:00+08:00,13.0,2.5,0.0,13.5
CAAD70,國五S006K,新北市,石碇區,24.989964,121.65697,2026-04-25T23:00:00+08:00,9.5,1.0,0.5,10.0
CAAD80,國五N008K,新北市,石碇區,24.982411,121.66808,2026-04-25T23:00:00+08:00,8.0,0.0,0.0,9.0
CAAD90,國五N013K,新北市,坪林區,24.947603,121.7055,2026-04-25T23:00:00+08:00,4.0,0.0,0.0,4.5
C0AK10,太平里,新北市,林口區,25.134937,121.364899,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,4.5
C0AK30,硬漢嶺,新北市,八里區,25.136097,121.426372,2026-04-25T23:00:00+08:00,4.5,0.0,0.0,4.5
C2AA10,中八仙,臺北市,北投區,25.11576,121.49199,2026-04-25T23:00:00+08:00,5.5,0.0,0.0,6.0
C2AK40,漁光,新北市,坪林區,24.96875,121.72132,2026-04-25T23:00:00+08:00,9.0,0.0,0.0,9.5
C2AK30,信賢,新北市,烏來區,24.84108,121.53492,2026-04-25T23:00:00+08:00,5.5,0.0,0.0,6.0
