proj,dag_id,band,old_schedule,new_schedule,執行時間說明,config_path
proj_city_dashboard,D030201,heavy,"0 18 27 6,12 *","30 15 1,22 * *",每月 1號、22號 Taipei 23:30 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D030201/job_config.json
proj_city_dashboard,D100102_7,heavy,0 0 1 * *,"30 15 2,23 * *",每月 2號、23號 Taipei 23:30 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100102_7/job_config.json
proj_city_dashboard,R0037_1,heavy,0 3 22 12 *,"30 15 3,24 * *",每月 3號、24號 Taipei 23:30 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0037_1/job_config.json
proj_city_dashboard,R0082,heavy,0 5 21 * *,"30 15 4,25 * *",每月 4號、25號 Taipei 23:30 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0082/job_config.json
proj_new_taipei_city_dashboard,moenv_public_toilet_ntpe,heavy,@monthly,"30 15 5,26 * *",每月 5號、26號 Taipei 23:30 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/moenv_public_toilet_ntpe/job_config.json
proj_city_dashboard,D100103,light,"0 0 1 3,9 *","30 15 6,27 * *",每月 6號、27號 Taipei 23:30 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100103/job_config.json
proj_new_taipei_city_dashboard,flu_hospitals_ntpe,light,@monthly,"30 15 7,28 * *",每月 7號、28號 Taipei 23:30 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/flu_hospitals_ntpe/job_config.json
proj_city_dashboard,D050301-1,heavy,0 0 1 * *,"30 16 1,22 * *",每月 1號、22號 Taipei 00:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D050301_1/job_config.json
proj_city_dashboard,D100104_1,heavy,"0 0 1 3,9 *","30 16 2,23 * *",每月 2號、23號 Taipei 00:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100104_1/job_config.json
proj_city_dashboard,R0037_3,heavy,20 3 22 12 *,"30 16 3,24 * *",每月 3號、24號 Taipei 00:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0037_3/job_config.json
proj_city_dashboard,R0085,heavy,"0 5 25 3,9 *","30 16 4,25 * *",每月 4號、25號 Taipei 00:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/R0085/job_config.json
tutorial,template_test,heavy,0 0 1 * *,"30 16 5,26 * *",每月 5號、26號 Taipei 00:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/tutorial/simple_template/job_config.json
proj_city_dashboard,D100106_3,light,0 0 1 * *,"30 16 6,27 * *",每月 6號、27號 Taipei 00:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_city_dashboard/D100106_3/job_config.json
proj_new_taipei_city_dashboard,tourist_attractions,light,@monthly,"30 16 7,28 * *",每月 7號、28號 Taipei 00:30(隔日) 執行,Taipei-City-Dashboard-DE/dags/proj_new_taipei_city_dashboard/tourist_attractions/job_config.json
