grid_id,density,district,lon,lat
300,2,桃園市蘆竹區,121.29022045045046,25.10702372072105
301,2,新北市林口區,121.29022045045046,25.107924621621947
302,2,新北市林口區,121.29022045045045,25.108825522522856
303,2,新北市林口區,121.29022045045046,25.10972642342376
304,2,新北市林口區,121.29022045045048,25.110627324324657
305,2,新北市林口區,121.29022045045045,25.11152822522556
306,2,新北市林口區,121.29022045045048,25.112429126126464
307,3,新北市林口區,121.29022045045046,25.11333002702736
308,4,新北市林口區,121.29022045045046,25.114230927928272
309,4,新北市林口區,121.29022045045046,25.11513182882917
310,4,新北市林口區,121.29022045045046,25.116032729730065
311,4,新北市林口區,121.29022045045045,25.11693363063097
312,3,新北市林口區,121.29022045045045,25.117834531531877
313,3,新北市林口區,121.29022045045045,25.118735432432775
814,2,新北市林口區,121.29112135135138,25.107924621621954
815,2,新北市林口區,121.29112135135136,25.10882552252286
816,2,新北市林口區,121.29112135135136,25.109726423423762
817,2,新北市林口區,121.29112135135136,25.110627324324668
818,2,新北市林口區,121.29112135135135,25.11152822522556
819,2,新北市林口區,121.29112135135135,25.11242912612646
820,3,新北市林口區,121.29112135135138,25.113330027027363
821,4,新北市林口區,121.29112135135136,25.114230927928265
822,4,新北市林口區,121.29112135135136,25.115131828829167
823,5,新北市林口區,121.29112135135136,25.11603272973007
824,3,新北市林口區,121.29112135135136,25.116933630630978
825,3,新北市林口區,121.29112135135138,25.11783453153188
826,4,新北市林口區,121.29112135135135,25.11873543243278
1327,2,新北市林口區,121.29202225225225,25.107924621621958
1328,2,新北市林口區,121.29202225225225,25.108825522522856
1329,2,新北市林口區,121.29202225225227,25.109726423423755
1330,2,新北市林口區,121.29202225225225,25.110627324324664
1331,2,新北市林口區,121.29202225225225,25.11152822522557
1332,2,新北市林口區,121.29202225225227,25.112429126126464
1333,3,新北市林口區,121.29202225225225,25.113330027027366
1334,4,新北市林口區,121.29202225225225,25.11423092792827
1335,5,新北市林口區,121.29202225225228,25.11513182882917
1336,5,新北市林口區,121.29202225225225,25.116032729730065
1337,4,新北市林口區,121.29202225225225,25.11693363063097
1338,4,新北市林口區,121.29202225225227,25.11783453153188
1339,4,新北市林口區,121.2920222522523,25.118735432432775
1840,2,新北市林口區,121.29292315315317,25.10792462162196
1841,2,新北市林口區,121.29292315315317,25.10882552252286
1842,2,新北市林口區,121.29292315315317,25.10972642342376
1843,2,新北市林口區,121.29292315315318,25.110627324324664
1844,2,新北市林口區,121.29292315315317,25.111528225225566
1845,2,新北市林口區,121.29292315315318,25.11242912612647
1846,3,新北市林口區,121.29292315315315,25.113330027027363
1847,4,新北市林口區,121.29292315315318,25.114230927928265
1848,5,新北市林口區,121.29292315315317,25.115131828829163
1849,6,新北市林口區,121.29292315315317,25.11603272973007
1850,7,新北市林口區,121.29292315315317,25.116933630630975
1851,7,新北市林口區,121.29292315315317,25.11783453153188
1852,4,新北市林口區,121.29292315315315,25.118735432432775
1853,4,新北市林口區,121.29292315315317,25.119636333333673
2354,2,新北市林口區,121.29382405405407,25.108825522522856
2355,2,新北市林口區,121.29382405405408,25.109726423423755
2356,2,新北市林口區,121.29382405405406,25.11062732432466
2357,2,新北市林口區,121.29382405405406,25.111528225225562
2358,2,新北市林口區,121.29382405405407,25.112429126126464
2359,2,新北市林口區,121.29382405405408,25.113330027027366
2360,4,新北市林口區,121.29382405405406,25.11423092792826
2361,8,新北市林口區,121.29382405405408,25.11513182882917
2362,10,新北市林口區,121.29382405405407,25.116032729730076
2363,10,新北市林口區,121.29382405405407,25.116933630630978
2364,10,新北市林口區,121.29382405405408,25.117834531531884
2365,7,新北市林口區,121.29382405405407,25.11873543243278
2366,7,新北市林口區,121.29382405405406,25.11963633333368
2367,7,新北市林口區,121.29382405405407,25.12053723423458
2868,2,新北市林口區,121.29472495495499,25.10972642342376
2869,2,新北市林口區,121.29472495495497,25.11062732432466
2870,2,新北市林口區,121.29472495495497,25.11152822522557
2871,2,新北市林口區,121.29472495495496,25.112429126126464
2872,2,新北市林口區,121.29472495495496,25.113330027027366
2873,10,新北市林口區,121.29472495495499,25.11423092792827
2874,10,新北市林口區,121.29472495495496,25.115131828829163
2875,10,新北市林口區,121.29472495495499,25.116032729730076
2876,10,新北市林口區,121.29472495495499,25.11693363063097
2877,10,新北市林口區,121.29472495495499,25.11783453153188
2878,10,新北市林口區,121.29472495495496,25.118735432432775
2879,10,新北市林口區,121.29472495495499,25.119636333333677
2880,7,新北市林口區,121.29472495495499,25.120537234234586
2881,7,新北市林口區,121.29472495495496,25.12143813513548
2882,4,新北市林口區,121.29472495495496,25.122339036036383
3385,6,新北市林口區,121.2956258558559,25.113330027027363
