grid_id,density,district,lon,lat,index_right
1585,1,桃園市桃園區,121.32140505668067,24.972319027765195,283.0
1586,1,桃園市桃園區,121.32140740239892,24.9732218550699,283.0
1587,1,桃園市桃園區,121.32140974823074,24.974124682264918,283.0
2071,1,桃園市八德區,121.32239315392744,24.97141405899796,282.0
2072,1,桃園市桃園區,121.32239550676003,24.97231688632451,283.0
2073,1,桃園市桃園區,121.32239785970658,24.973219713541404,283.0
2074,1,桃園市桃園區,121.32240021276706,24.974122540648594,283.0
2075,1,桃園市桃園區,121.32240256594154,24.975025367646104,283.0
2515,1,新北市鶯歌區,121.32328222213816,24.93259023608423,293.0
2516,1,新北市鶯歌區,121.32328457728718,24.93349306803629,293.0
2517,1,新北市鶯歌區,121.32328693255042,24.934395899878798,293.0
2518,1,新北市鶯歌區,121.32328928792774,24.935298731611738,293.0
2519,1,新北市鶯歌區,121.32329164341925,24.93620156323512,293.0
2557,1,桃園市八德區,121.3233812367186,24.9705090837085,282.0
2558,1,桃園市八德區,121.32338359666487,24.97141191105664,282.0
2559,1,新北市鶯歌區,121.32338595672545,24.97231473829511,293.0
2560,1,新北市鶯歌區,121.32338831690029,24.973217565423898,293.0
2561,1,桃園市桃園區,121.32339067718948,24.974120392442998,283.0
2562,1,桃園市桃園區,121.32339303759294,24.975023219352412,283.0
2563,1,桃園市桃園區,121.32339539811073,24.975926046152132,283.0
3001,1,新北市鶯歌區,121.32426999204239,24.93168525337956,293.0
3002,1,新北市鶯歌區,121.32427235428986,24.932588085352872,293.0
3003,1,新北市鶯歌區,121.32427471665183,24.93349091721663,293.0
3004,1,新北市鶯歌區,121.3242770791283,24.934393748970823,293.0
3005,1,新北市鶯歌區,121.32427944171926,24.93529658061546,293.0
3006,1,新北市鶯歌區,121.32428180442473,24.93619941215053,293.0
3007,1,新北市鶯歌區,121.3242841672447,24.93710224357603,293.0
3044,1,桃園市八德區,121.32437167211413,24.970506929267092,282.0
3045,1,桃園市八德區,121.32437403928802,24.971409756526878,282.0
3046,1,新北市鶯歌區,121.32437640657655,24.972312583676985,293.0
3047,2,新北市鶯歌區,121.32437877397972,24.973215410717415,293.0
3048,2,桃園市桃園區,121.32438114149755,24.974118237648145,283.0
3049,2,桃園市桃園區,121.32438350913003,24.975021064469193,283.0
3050,1,桃園市桃園區,121.3243858768772,24.97592389118055,283.0
3488,1,新北市鶯歌區,121.32526011686703,24.931683096159954,293.0
3489,1,新北市鶯歌區,121.32526248632705,24.932585928044684,293.0
3490,1,新北市鶯歌區,121.32526485590193,24.933488759819863,293.0
3491,1,新北市鶯歌區,121.32526722559169,24.93439159148548,293.0
3492,1,新北市鶯歌區,121.32526959539626,24.935294423041533,293.0
3493,1,新北市鶯歌區,121.32527196531572,24.93619725448801,293.0
3494,1,新北市鶯歌區,121.32527433535,24.937100085824945,293.0
3531,1,桃園市八德區,121.32536210739501,24.97050476823751,282.0
3532,2,桃園市八德區,121.3253644817965,24.971407595408667,282.0
3533,2,新北市鶯歌區,121.325366856313,24.97231042247014,293.0
3534,2,新北市鶯歌區,121.32536923094447,24.973213249421924,293.0
3535,2,新北市鶯歌區,121.32537160569098,24.974116076264032,293.0
3536,2,桃園市桃園區,121.32537398055247,24.97501890299644,283.0
3537,2,桃園市桃園區,121.32537635552897,24.975921729619152,283.0
3975,1,新北市鶯歌區,121.32625024157682,24.931680932363783,293.0
3976,1,新北市鶯歌區,121.32625261824941,24.93258376415967,293.0
3977,1,新北市鶯歌區,121.32625499503723,24.933486595846,293.0
3978,1,新北市鶯歌區,121.32625737194024,24.934389427422765,293.0
3979,1,新北市鶯歌區,121.32625974895842,24.935292258889962,293.0
3980,1,新北市鶯歌區,121.32626212609182,24.936195090247594,293.0
3981,1,新北市鶯歌區,121.32626450334043,24.937097921495667,293.0
4018,1,桃園市八德區,121.3263525425609,24.970502600619753,282.0
4019,2,桃園市八德區,121.32635492418997,24.97140542770201,282.0
4020,2,桃園市八德區,121.32635730593441,24.97230825467458,282.0
4021,2,新北市鶯歌區,121.32635968779422,24.973211081537464,293.0
4022,3,新北市鶯歌區,121.32636206976937,24.974113908290658,293.0
4023,3,桃園市桃園區,121.32636445185989,24.975016734934158,283.0
4024,3,桃園市桃園區,121.32636683406574,24.97591956146796,283.0
4025,2,桃園市桃園區,121.32636921638698,24.976822387892074,283.0
4462,1,新北市鶯歌區,121.32724036617144,24.93167876199105,293.0
4463,1,新北市鶯歌區,121.32724275005661,24.932581593697826,293.0
4464,1,新北市鶯歌區,121.3272451340573,24.933484425295035,293.0
4465,1,新北市鶯歌區,121.32724751817359,24.934387256782674,293.0
4466,1,新北市鶯歌區,121.32724990240538,24.93529008816076,293.0
4467,1,新北市鶯歌區,121.32725228675271,24.936192919429267,293.0
4468,1,新北市鶯歌區,121.32725467121566,24.937095750588206,293.0
4495,1,桃園市八德區,121.32731909540706,24.961472150451026,282.0
4496,1,桃園市八德區,121.32732148310699,24.962374978540783,282.0
4497,1,桃園市八德區,121.32732387092253,24.9632778065209,282.0
4498,1,桃園市八德區,121.3273262588538,24.964180634391347,282.0
4506,3,桃園市八德區,121.32734536646817,24.97140325340691,282.0
4507,3,桃園市八德區,121.32734775544051,24.972306080290302,282.0
4508,4,桃園市八德區,121.3273501445286,24.973208907064013,282.0
4509,4,新北市鶯歌區,121.32735253373241,24.974111733728023,293.0
4510,4,新北市鶯歌區,121.32735492305194,24.97501456028235,293.0
4511,2,新北市鶯歌區,121.32735731248715,24.975917386726987,293.0
4512,2,新北市鶯歌區,121.32735970203808,24.97682021306191,293.0
4513,1,新北市鶯歌區,121.32736209170477,24.977723039287138,293.0
4950,1,新北市鶯歌區,121.32823288174825,24.932579416659156,293.0
4951,1,新北市鶯歌區,121.32823527296189,24.933482248166978,293.0
4952,1,新北市鶯歌區,121.3282376642914,24.934385079565228,293.0
4953,1,新北市鶯歌區,121.3282400557368,24.93528791085392,293.0
4954,1,新北市鶯歌區,121.32824244729812,24.936190742033034,293.0
4955,1,新北市鶯歌區,121.32824483897534,24.937093573102587,293.0
4981,1,桃園市八德區,121.32830706327718,24.96056714244129,282.0
4982,1,桃園市八德區,121.32830945808516,24.961469970551278,282.0
4983,1,桃園市八德區,121.32831185300917,24.96237279855161,282.0
4984,1,桃園市八德區,121.32831424804921,24.96327562644229,282.0
4985,1,桃園市八德區,121.32831664320526,24.964178454223305,282.0
4986,1,桃園市八德區,121.32831903847732,24.96508128189466,282.0
4990,1,桃園市八德區,121.32832862072581,24.9686925914834,282.0
4991,1,桃園市八德區,121.32833101657803,24.9695954186064,282.0
4992,2,桃園市八德區,121.32833341254627,24.970498245619726,282.0
4993,4,桃園市八德區,121.32833580863056,24.971401072523363,282.0
4994,4,桃園市八德區,121.32833820483093,24.972303899317318,282.0
4995,4,桃園市八德區,121.32834060114733,24.97320672600158,282.0
4996,5,新北市鶯歌區,121.32834299757975,24.97410955257615,293.0
4997,4,新北市鶯歌區,121.32834539412825,24.975012379041022,293.0
4998,5,新北市鶯歌區,121.32834779079285,24.975915205396216,293.0
4999,4,新北市鶯歌區,121.32835018757349,24.976818031641685,293.0
5000,2,新北市鶯歌區,121.32835258447021,24.97772085777747,293.0
5001,1,新北市鶯歌區,121.32835498148296,24.97862368380354,293.0
5438,1,新北市鶯歌區,121.32922541175053,24.933480064461815,293.0
5439,1,新北市鶯歌區,121.32922781029332,24.934382895770412,293.0
5440,1,新北市鶯歌區,121.32923020895232,24.93528572696945,293.0
5468,1,桃園市八德區,121.3292974186155,24.960564956045776,282.0
5469,1,桃園市八德區,121.32929982064725,24.96146778406606,282.0
5470,1,桃園市八德區,121.32930222279538,24.9623706119767,282.0
5471,1,桃園市八德區,121.32930462505983,24.96327343977767,282.0
