index,history_config,map_config_ids,map_filter,time_from,time_to,update_freq,update_freq_unit,source,short_desc,long_desc,use_case,links,contributors,created_at,updated_at,query_type,query_chart,query_history,city
eco_diet_restaurants_points,,{},,static,,,,雙北環保局,雙北環保餐廳家數比較,整合臺北市與新北市環保局公告的環保餐廳名錄，分別統計兩市總家數，協助使用者直觀比較雙北環保飲食店家供給規模。,市民查詢居家附近環保餐廳供給度、店家規劃新分店時參考既有環保認證店家分布、政府評估環保餐廳推廣覆蓋率。,"{https://data.taipei/dataset/detail?id=845818d9-c432-44b4-85dd-03d71bd867b2,https://data.ntpc.gov.tw/datasets/e90d14f8-5995-4ebb-af19-8f8fd7d396c8}","{doit,ntpc}",,,two_d,"SELECT '臺北市' AS x_axis, COUNT(*)::float AS data FROM eco_friendly_restaurant UNION ALL SELECT '新北市', COUNT(*)::float FROM eco_friendly_restaurant_ntpe ORDER BY x_axis",,metrotaipei
eco_diet_restaurants_points,,{},,static,,,,臺北市政府環保局,臺北環保餐廳家數,臺北市政府環保局公告之環保餐廳當前清單統計，以「家」為單位呈現臺北市環保飲食店家總量。,市民查詢居家附近環保餐廳供給度、店家規劃新分店時參考既有環保認證店家分布。,{https://data.taipei/dataset/detail?id=845818d9-c432-44b4-85dd-03d71bd867b2},{doit},,,two_d,"SELECT '臺北市' AS x_axis, COUNT(*)::float AS data FROM eco_friendly_restaurant",,taipei
