"識別碼","資料集名稱","資料集網址","資料集提供機關名稱","更新頻率","主題分類","數發部資料集服務分類","提供格式","資料集語系","資料說明"
"5E38192D-2685-432B-AE44-F2DC0E8CDA7B","114年度新北市總預算案收支簡明比較分析表","https://data.ntpc.gov.tw/datasets/5e38192d-2685-432b-ae44-f2dc0e8cda7b","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案收支簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"FCA4628D-1410-435A-A426-13C47AC6EB18","114年度新北市總預算案基金別預算分析表","https://data.ntpc.gov.tw/datasets/fca4628d-1410-435a-a426-13c47ac6eb18","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案基金別預算分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"0CA80B64-C7A8-4689-BFFA-ED61AF2A512F","114年度新北市總預算案歲入來源別預算比較總表（經資門併計）","https://data.ntpc.gov.tw/datasets/0ca80b64-c7a8-4689-bffa-ed61af2a512f","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案歲入來源別預算比較總表(經資門併計) 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"6BE2118B-AFFA-4746-A5D8-08260369C763","114年度新北市總預算案歲入來源別預算總表","https://data.ntpc.gov.tw/datasets/6be2118b-affa-4746-a5d8-08260369c763","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案歲入來源別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"96B40F32-1A4C-4F31-8658-76F5F7162BD9","114年度新北市總預算案歲入歲出性質及餘絀簡明比較分析表","https://data.ntpc.gov.tw/datasets/96b40f32-1a4c-4f31-8658-76f5f7162bd9","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案歲入歲出性質及餘絀簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"35E5B42E-840B-4F64-9C52-A08BF6BD2506","114年度新北市總預算案歲出政事別預算比較總表（經資門併計）","https://data.ntpc.gov.tw/datasets/35e5b42e-840b-4f64-9c52-a08bf6bd2506","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案歲出政事別預算比較總表（經資門併計） 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"DF7FB67F-80F8-4727-87F7-CA0B8D2791E0","114年度新北市總預算案歲出政事別預算總表","https://data.ntpc.gov.tw/datasets/df7fb67f-80f8-4727-87f7-ca0b8d2791e0","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案歲出政事別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"94FED482-8384-4A9C-BE8D-E5E03E65C85A","114年度新北市總預算案歲入歲出簡明比較分析表","https://data.ntpc.gov.tw/datasets/94fed482-8384-4a9c-be8d-e5e03e65c85a","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案歲入歲出簡明比較分析表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"6DB8E2DF-EADF-4F36-83EC-DF281A7DAEFB","114年度新北市總預算案歲出機關別預算比較總表(經資門併計)","https://data.ntpc.gov.tw/datasets/6db8e2df-eadf-4f36-83ec-df281a7daefb","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案歲出機關別預算比較總表(經資門併計) 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
"9F7BD08F-D0E7-4660-A21D-926996867460","114年度新北市總預算案歲出機關別預算總表","https://data.ntpc.gov.tw/datasets/9f7bd08f-d0e7-4660-a21d-926996867460","新北市政府主計處/公務預算科","不更新","財稅","公共資訊","JSON、CSV、XML","中文","1.114年度新北市總預算案歲出機關別預算總表 2.單位：新臺幣千元 3.完整資料詳參""新北市政府主計處網頁->總預算->114年度""(https://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=25ce5e1ffd4e3727f8c967a54a9e11db)或電洽主計處查詢。"
