period_sort,period_label,iso_date,city,energy_type,capacity_kw
113-00,113年,2024-01-01T00:00:00+08:00,新北市,風力,13340
114-00,114年,2025-01-01T00:00:00+08:00,台北市,其他(含水力),260
114-00,114年,2025-01-01T00:00:00+08:00,台北市,太陽光電,83445
114-00,114年,2025-01-01T00:00:00+08:00,台北市,風力,0
114-00,114年,2025-01-01T00:00:00+08:00,新北市,其他(含水力),111970
114-00,114年,2025-01-01T00:00:00+08:00,新北市,太陽光電,198720
114-00,114年,2025-01-01T00:00:00+08:00,新北市,風力,13340
115-02,115年 2月,2026-02-01T00:00:00+08:00,台北市,其他(含水力),260
115-02,115年 2月,2026-02-01T00:00:00+08:00,台北市,太陽光電,83862
115-02,115年 2月,2026-02-01T00:00:00+08:00,台北市,風力,0
115-02,115年 2月,2026-02-01T00:00:00+08:00,新北市,其他(含水力),111970
115-02,115年 2月,2026-02-01T00:00:00+08:00,新北市,太陽光電,202752
115-02,115年 2月,2026-02-01T00:00:00+08:00,新北市,風力,13340
