hotel_name,min_price,biz_area,city
新榮大旅社,1200.0,天母商圈,Taipei
旅居文旅中山館,3000.0,天母商圈,Taipei
吉緻行旅天津館,8800.0,承德路中古汽車商圈,Taipei
東京國際飯店,3600.0,士林捷運站周邊,Taipei
上賓大飯店,1680.0,天母商圈,Taipei
士林町旅店,1680.0,天母商圈,Taipei
帝華旅社,1680.0,承德路中古汽車商圈,Taipei
明日大飯店,12880.0,承德路中古汽車商圈,Taipei
立建賓館,1100.0,大直商圈,Taipei
華大HOTEL,1200.0,大直商圈,Taipei
新驛旅店,6000.0,承德路中古汽車商圈,Taipei
台北星辰旅館,2580.0,承德路中古汽車商圈,Taipei
華冠商旅HOTEL,1100.0,承德路中古汽車商圈,Taipei
嘉榮旅社,1800.0,承德路中古汽車商圈,Taipei
建山大旅社,3000.0,承德路中古汽車商圈,Taipei
新驛旅店台北車站二館,9500.0,承德路中古汽車商圈,Taipei
儷萊飯店(普亨萊大飯店),5000.0,承德路中古汽車商圈,Taipei
台北馥敦飯店,10000.0,士林捷運站周邊,Taipei
仙渡莊旅社,2000.0,承德路中古汽車商圈,Taipei
美代溫泉飯店,2000.0,新北投溫泉商圈,Taipei
儷萊旅館,3960.0,承德路中古汽車商圈,Taipei
真珠賓館,700.0,承德路中古汽車商圈,Taipei
在家行旅 ,1000.0,士林捷運站周邊,Taipei
葫蘆商旅,1000.0,承德路中古汽車商圈,Taipei
上華旅館,4000.0,天母商圈,Taipei
背包棧旅店西門店,4000.0,承德路中古汽車商圈,Taipei
松林旅社,850.0,承德路中古汽車商圈,Taipei
龍山旅社,2600.0,承德路中古汽車商圈,Taipei
曲水會館,8000.0,新北投溫泉商圈,Taipei
玩行旅 大安分館,7380.0,士林觀光夜市商圈,Taipei
美上美旅館,1500.0,承德路中古汽車商圈,Taipei
唐門客棧,2000.0,承德路中古汽車商圈,Taipei
水美溫泉會館,9000.0,新北投溫泉商圈,Taipei
力歐時尚旅館西門館,800.0,承德路中古汽車商圈,Taipei
古山園旅社,1000.0,承德路中古汽車商圈,Taipei
銀座飯店,1680.0,士林捷運站周邊,Taipei
星美飯店,1900.0,天母商圈,Taipei
瑪奇商務旅店,2380.0,中山商圈,Taipei
新仕商務旅店　　,3000.0,承德路中古汽車商圈,Taipei
富順大飯店,1600.0,承德路中古汽車商圈,Taipei
豪贊旅店,10000.0,承德路中古汽車商圈,Taipei
新月商旅,2000.0,士林觀光夜市商圈,Taipei
北城大飯店,3200.0,士林捷運站周邊,Taipei
洛碁大飯店新仕界,3000.0,承德路中古汽車商圈,Taipei
雅莊旅館,2880.0,天母商圈,Taipei
丹迪旅店-天津店,10000.0,承德路中古汽車商圈,Taipei
大新飯店,9800.0,士林捷運站周邊,Taipei
密都大飯店,10800.0,士林捷運站周邊,Taipei
麗之湯別館,6000.0,新北投溫泉商圈,Taipei
鴨川旅館,2000.0,士林捷運站周邊,Taipei
山樂溫泉,4600.0,新北投溫泉商圈,Taipei
山水樂會館,8600.0,新北投溫泉商圈,Taipei
雅柏精緻旅館,9200.0,天母商圈,Taipei
燦路都飯店,6000.0,天母商圈,Taipei
瑞沂國際飯店,1650.0,士林捷運站周邊,Taipei
君帥旅館,5000.0,承德路中古汽車商圈,Taipei
函舍旅館,5000.0,承德路中古汽車商圈,Taipei
百悅旅社,1380.0,承德路中古汽車商圈,Taipei
