dag,ready_table,name_cn,source_dept,source_type,schedule_interval,row_count,fetch_note,source_url
proj_city_dashboard/R0075,fire_hydrant_location,大臺北地區消防栓分布點位圖,北水處,data.taipei csv file,"0 1 20 1,4,7,10 *",30445,data.taipei rid=b9f8154d-c627-48a8-b3ef-512ed9cde9e7,https://data.taipei/dataset/detail?id=679a0801-8cb0-4c64-91ad-952c1b9e5e84
proj_city_dashboard/accessible_facilities,accessible_facilities_tpe,無障礙設施場所,觀光局,data.taipei,@monthly,113,data.taipei rid=936e3be6-e029-4bdf-9199-a8b8fb482df6,https://data.taipei/dataset
proj_city_dashboard/aed_locations,aed_locations,臺北市AED設置地點資料,衛生局,data.taipei json,0 20 19 * *,2728,data.taipei rid=438c61ad-24f6-4e54-a1cc-e2cfe0e7051e,https://data.taipei/dataset/detail?id=cd050577-115f-4299-b37a-012ff490a632
proj_city_dashboard/bike_path,bike_network_tpe,自行車路網,交通部 TDX,TDX API,00 20 * * *,493,tdx,https://tdx.transportdata.tw/api/basic/v2/Cycling/Shape/City/Taipei?%24&%24format=JSON
proj_city_dashboard/cooling_point,cooling_point_tpe,臺北市涼適點,臺北市政府,data.taipei,@monthly,494,data.taipei rid=ae7e5986-859d-4294-b289-7c1b2e7c23f1,https://data.taipei/dataset/detail?id=a98a3e0e-a36f-43fa-82f8-b09a3011a47a
proj_city_dashboard/dependency_ratio_and_aging_index,dependency_ratio_and_aging_index_tpe,臺北市扶養比及老化指數,主計處,data.taipei ods file,0 3 25 12 *,,tsis.dbas 主計處內網 CSV,https://data.taipei/api/v1/dataset/71185df2-d7a2-48f2-9bb5-192b59737610?scope=resourceAquire
proj_city_dashboard/ebus_base_info,bus_info_tpe,臺北市電動巴士基本資料,交通部 TDX,TDX API,00 20 * * *,3794,tdx,https://tdx.transportdata.tw/api/basic/v2/Bus/Vehicle/City/Taipei?%24top=30&%24format=JSON
proj_city_dashboard/elderly_club,elderly_club_tpe,臺北市銀髮族服務-社區整體照顧服務體系C級單位一覽表,,data.taipei api,0 20 19 * *,293,data.taipei rid=ffab5e5f-4a0f-4759-8531-5302379509cd,https://data.taipei/api/frontstage/tpeod/dataset/resource.download?rid=ffab5e5f-4a0f-4759-8531-5302379509cd
proj_city_dashboard/employment_age_structure,employment_age_structure_tpe,臺北市就業人口之年齡結構,主計處,data.taipei,0 3 25 12 *,,tsis.dbas 主計處內網 CSV (需 Taipei proxy),https://data.taipei/api/v1/dataset/71185df2-d7a2-48f2-9bb5-192b59737610?scope=resourceAquire
proj_city_dashboard/energy_saving_coaching_situation_tpe,energy_saving_coaching_situation_tpe,臺北市節能輔導情形,產業局,data.taipei api,0 20 19 * *,11,data.taipei rid=5a2c9899-9c34-44ef-8860-1ed773e08dc8,https://data.taipei/dataset/detail?id=687f5170-06e9-46be-80bc-fcae87bcaeba
proj_city_dashboard/energy_saving_coaching_situation_tpe_gov,energy_saving_coaching_situation_tpe_gov,臺北市節能輔導情形,產業局,data.taipei api,0 20 19 * *,11,data.taipei rid=fcd166eb-4fb5-40db-962b-28899d7146fc,https://data.taipei/dataset/detail?id=687f5170-06e9-46be-80bc-fcae87bcaeba
proj_city_dashboard/env_srv_energy_subsidy,env_srv_energy_subsidy,臺北市服務業汰換節能設備補助相關資訊,產業局,data.taipei api,"0 3 24 6,12 *",7,data.taipei rid=5f239e5c-9388-4dc2-b6a6-f65491edd78a,https://data.taipei/dataset/detail?id=01370301-b843-4b60-ae8c-6a8789880bfe
proj_city_dashboard/flu_hospitals_tpe,flu_hospitals_tpe,各項預防接種合約醫療院所,主計處,data.taipei csv file,@monthly,391,data.taipei rid=47b02c29-efa2-4614-ac7e-1b0b9499e6ea,https://data.taipei/dataset/detail?id=ec201f0a-2efa-4426-9439-a8daea7b33c7
proj_city_dashboard/friendly_store,friendly_store,臺北市與新北市友善店家列表,民政局,data.taipei csv,0 20 19 * *,1058,data.taipei rid=5a5b36e0-f870-4b7f-8378-c91ac5f57941,https://data.taipei/dataset/detail?id=d807396c-e41f-4005-be42-0160280783a1
proj_city_dashboard/general_hotel_registry,general_hotel_registry_tpe,臺北市合法一般旅館名冊,觀光旅遊局,data.gov.tw,@monthly,582,dataset-download,https://data.gov.tw/dataset/135464
proj_city_dashboard/li_age_population_tpe,li_age_population_tpe,臺北市各里人口數按年齡分（僅性別總計）,民政局,data.taipei api,0 20 19 * *,54873,data.taipei rid=c8f5b53d-ef3d-4321-ae8e-58cd2a5ee73c,https://data.taipei/dataset/detail?id=a6394e3f-3514-4542-87bd-de4310a40db3
proj_city_dashboard/long_term,long_term_tpe,臺北市長期照顧機構基本資料,社會局,data.taipei,@monthly,88,data.taipei rid=9a3e0440-87ea-4793-9240-5c8dc02b5129,https://data.taipei/dataset/detail?id=9a3e0440-87ea-4793-9240-5c8dc02b5129
proj_city_dashboard/merge_crime_type_by_dist,merge_crime_type_by_dist_tpe,偷竊統計總和,警察局,data.taipei,@monthly,,衍生自 DB,postgres_default
proj_city_dashboard/moenv_public_toilet_tpe,moenv_public_toilet_tpe,公共廁所-臺北市資料,環境部 環境管理署,MOENV API,@monthly,7217,moenv fac_p_28,https://data.moenv.gov.tw/api/v2/fac_p_28
