component_id,component_index,component_name,chart_rows (bars),chart_sum_data (圖表加總),chart_sum_value (map legend),dag_tables,dag_api_counts,error
216,city_age_distribution,全市年齡分區,123/36,12996/4959,/,li_age_population_tpe | population_age_distribution_new_tpe,li_age_population_tpe=54873 | population_age_distribution_monthly=2250,
217,metro_br_line,文湖線擁擠程度,22,36222,,mrtp_metro_capacity_realtime | traffic_metro_unusual,R0047=None | R0046=22,
218,aging_kpi,長照指標,4/4,316/301,/,li_age_population_tpe | population_age_distribution_new_tpe,li_age_population_tpe=54873 | population_age_distribution_monthly=2250,
219,bike_map,自行車道路網圖資,1/1,/,/,bike_network_new_tpe | bike_network_tpe,bike_path=493 | bike_path=253,
244,district_population_gender,各行政區性別人口分布,24,2430886,,li_age_population_tpe,li_age_population_tpe=54873,
245,district_population_age,各行政區年齡層人口分布,132,2430886,,li_age_population_tpe,li_age_population_tpe=54873,
247,hotel,旅館統計,41/12,652/473,/,general_hotel_registry_ntpe | general_hotel_registry_tpe,general_hotel_registry=582 | general_hotel_registry=208,
248,attraction,觀光景點分布,492/144,798/432,/,tourist_attractions_ntpe | tourist_attractions_tpe,tourist_attractions=436 | tourist_attractions=564,
249,toilet,公廁分布,246/72,7195/2952,/,moenv_public_toilet_ntpe | moenv_public_toilet_tpe,moenv_public_toilet_tpe=7217 | moenv_public_toilet_ntpe=6017,
250,crime,偷竊統計,246/72,7472/7469,/,merge_crime_type_by_dist_new_tpe | merge_crime_type_by_dist_tpe,merge_crime_type_by_dist=None | merge_crime_type_by_dist=13296,
251,accessibility,無障礙設施,24,199,,accessible_facilities_ntpe | accessible_facilities_tpe,accessible_facilities=113 | accessible_facilities=3838,
252,old_club,銀髮俱樂部,41/13,1024/293,/,elderly_club_ntpe | elderly_club_tpe,elderly_club=293 | elderly_club=1202,
255,rainfall_flood_simulation_etl,各降雨強度分級淹水面積,50/50,28539/14267,/,rainfall_flood_simulation_etl_ntpe | rainfall_flood_simulation_etl_tpe,rainfall_flood_simulation_etl=6 | rainfall_flood_simulation_etl=6,
256,death_count_rate_by_cause_and_year,死因別死亡率總覽,144/144,22296/8028,/,yearly_death_cause_etl_ntpe | yearly_death_cause_etl_tpe,yearly_death_cause_etl=None | yearly_death_cause_etl=19,
257,flu_hospitals_distribution,各行政區流感疫苗接種醫院數量統計,41/12,896/377,/,flu_hospitals_ntpe | flu_hospitals_tpe,flu_hospitals_tpe=391 | flu_hospitals_ntpe=686,
258,long_term,長照據點,41/12,238/90,/,long_term_nwtpe | long_term_tpe,long_term=88 | long_term=None,
259,metro_passenger,捷運站乘客流動量,236,26113,,mrtp_metro_capacity_realtime | traffic_metro_unusual,R0047=None | R0046=22,
260,friendly_store,友善店家資源分布,252/144,2555/2467,/,friendly_store,friendly_store=1058,
261,aed_locations,AED資源設置分布概況,41/12,4518/2723,/,aed_locations | aed_locations_metrotaipei,aed_locations=2728 | aed_locations=1795,
286,attraction_cctv,觀光景點直播,12,6,,tourist_attractions_tpe,tourist_attractions=436,
287,youbike_weekend_eyb,YouBike2.0E週末群像,196,50,,traffic_youbike_two_realtime,R0051_4=N/A,
288,youbike_weekday_eyb,YouBike2.0E週間群像,196,232,,traffic_youbike_two_realtime,R0051_4=N/A,
289,youbike_park_pct,YouBike見位率,3,1696,,traffic_youbike_two_realtime,R0051_4=N/A,
290,cooling_point,涼適點,24,494,,cooling_point_tpe,cooling_point=494,
291,sustainable_campus,永續校園推動概況,5,37,,school_reconstruction_tpe,school_reconstruction=37,
