dag,ready_table,db_rows,api_rows,diff(db-api),chart_component_ids,component_names,dashboards,chart_row_counts,chart_sum_data,chart_sum_value,schedule,source_type,api_note
proj_new_taipei_city_dashboard/merge_crime_type_by_dist,merge_crime_type_by_dist_new_tpe,13296,13296,0,250|250,偷竊統計|偷竊統計,商圈活化(台北)|商圈活化(雙北),246|72,7472|7469,|,@monthly,data.ntpc.gov.tw,unresolved urls=[] rids=['8a32c6b5-46fc-4fac-b3a4-317b9998bfd7'] pages=[] ntpc=[] moenv=[] | patched
proj_city_dashboard/moenv_public_toilet_tpe,moenv_public_toilet_tpe,7217,7217,0,249|249,公廁分布|公廁分布,商圈活化(台北)|商圈活化(雙北),246|72,7195|2952,|,@monthly,MOENV API,moenv fac_p_28
proj_new_taipei_city_dashboard/moenv_public_toilet_ntpe,moenv_public_toilet_ntpe,6017,6017,0,249|249,公廁分布|公廁分布,商圈活化(台北)|商圈活化(雙北),246|72,7195|2952,|,@monthly,MOENV API,moenv fac_p_21
proj_city_dashboard/school_reconstruction,school_reconstruction_tpe,37,37,0,291,永續校園推動,城市建設(台北),5,37,,@monthly,data.taipei,data.taipei rid=b14137d5-fde6-4491-8817-2cf5f68ef0cf
proj_city_dashboard/sea_sand_houses_tpe,sea_sand_houses_tpe,8,,,204|205|206,海砂屋列管戶數|海砂屋列管案件數|海砂屋列管戶數案件數,防災都市(台北),16|16|16,34272|653|34925,||,0 20 19 * *,data.taipei api,tsis.dbas 主計處內網 CSV
proj_city_dashboard/tourist_attractions,tourist_attractions_tpe,436,436,0,248|248|286,觀光景點分布|觀光景點分布|觀光景點直播,商圈活化(台北)|商圈活化(雙北)|為民服務(台北),492|144|12,798|432|6,||,@monthly,data.taipei,tdx
proj_new_taipei_city_dashboard/tourist_attractions,tourist_attractions_ntpe,564,564,0,248|248,觀光景點分布|觀光景點分布,商圈活化(台北)|商圈活化(雙北),492|144,798|432,|,@monthly,data.ntpc.gov.tw,tdx
proj_city_dashboard/yearly_death_cause_etl,yearly_death_cause_etl_tpe,594,,,256,死因別死亡率,健康守護(台北)|健康守護(雙北),144,22296,,@yearly,data.taipei csv file,tsis.dbas 主計處內網 CSV
proj_new_taipei_city_dashboard/yearly_death_cause_etl,yearly_death_cause_etl_ntpe,144,19,125,256,死因別死亡率,健康守護(台北)|健康守護(雙北),144,22296,,@yearly,data.taipei,ntpc 5e6a672a-09e6-4119-8de6-0ca9856f3a01
proj_city_dashboard/youth_enterpreneurship_financing_loan_tpe,youth_enterpreneurship_financing_loan_tpe,150,150,0,210|211,青創貸款累計件數|青創貸款核准狀態,為民服務(台北),20|10,56165|1855,|,0 20 19 * *,data.taipei api,data.taipei rid=6e66d5ea-250e-4078-ac99-6247973a0ddd
proj_city_dashboard/cooling_point,cooling_point_tpe,494,494,0,290,涼適點,為民服務(台北),24,494,,@monthly,data.taipei,data.taipei rid=ae7e5986-859d-4294-b289-7c1b2e7c23f1
proj_city_dashboard/aed_locations,aed_locations,2728,2728,0,261|261,AED資源設置|AED資源設置,商圈活化(台北)|商圈活化(雙北),41|12,4518|2723,|,0 20 19 * *,data.taipei json,data.taipei rid=438c61ad-24f6-4e54-a1cc-e2cfe0e7051e
proj_new_taipei_city_dashboard/aed_locations,aed_locations_metrotaipei,1795,1795,0,261|261,AED資源設置|AED資源設置,商圈活化(台北)|商圈活化(雙北),41|12,4518|2723,|,0 20 19 * *,data.ntpc.gov.tw json,unresolved urls=[] rids=['61b29f27-219a-4394-9722-af97a5707598'] pages=[] ntpc=[] moenv=[] | patched
proj_city_dashboard/rainfall_flood_simulation_etl,rainfall_flood_simulation_etl_tpe,60,6,54,255,各降雨強度分級淹水面積,防災都市(台北)|防災都市(雙北),50,28539,,@once,,direct https://fhy.wra.gov.tw/disaster/Uploads/Download/%E6%B7%B9%E
proj_new_taipei_city_dashboard/rainfall_flood_simulation_etl,rainfall_flood_simulation_etl_ntpe,60,6,54,255,各降雨強度分級淹水面積,防災都市(台北)|防災都市(雙北),50,28539,,@once,,direct https://fhy.wra.gov.tw/disaster/Uploads/Download/%E6%B7%B9%E
proj_city_dashboard/accessible_facilities,accessible_facilities_tpe,199,113,86,251,無障礙設施,商圈活化(台北),24,199,,@monthly,data.taipei,data.taipei rid=936e3be6-e029-4bdf-9199-a8b8fb482df6
proj_new_taipei_city_dashboard/accessible_facilities,accessible_facilities_ntpe,3838,3838,0,251,無障礙設施,商圈活化(台北),24,199,,@monthly,data.taipei,unresolved urls=[] rids=['1e548c60-0b04-4507-bf60-f3be651db642'] pages=[] ntpc=[] moenv=[] | patched
proj_city_dashboard/dependency_ratio_and_aging_index,dependency_ratio_and_aging_index_tpe,57,,,214,扶養比及老化指數,健康守護(台北)|健康守護(雙北),24,2169,,0 3 25 12 *,data.taipei ods file,tsis.dbas 主計處內網 CSV
proj_new_taipei_city_dashboard/dependency_ratio_and_aging_index,dependency_ratio_and_aging_index_new_tpe,0,2250,-2250,214,扶養比及老化指數,健康守護(台北)|健康守護(雙北),24,2169,,0 3 25 12 *,data.ntpc.gov.tw,unresolved urls=[] rids=['8308ab58-62d1-424e-8314-24b65b7ab492'] pages=[] ntpc=[] moenv=[] | patched
proj_new_taipei_city_dashboard/population_age_distribution_monthly,population_age_distribution_new_tpe,0,2250,-2250,216|216|218,全市年齡分區|全市年齡分區|長照指標,健康守護(台北)|健康守護(雙北),123|36|4,12996|4959|316,||,0 4 14 * *,data.ntpc.gov.tw,unresolved urls=[] rids=['8308ab58-62d1-424e-8314-24b65b7ab492'] pages=[] ntpc=[] moenv=[] | patched
proj_new_taipei_city_dashboard/urbn_air_raid_shelter,urbn_air_raid_shelter_ntpe,9472,9472,0,171|171,防空避難設施|防空避難設施,防災都市(台北)|防災都市(雙北),164|48,15377|5906,|,@monthly,data.ntpc.gov.tw,unresolved urls=[] rids=['3a9d87f0-9490-4021-8fc9-5045ecdd8d22'] pages=[] ntpc=[] moenv=[] | patched
proj_new_taipei_city_dashboard/fire_narrow_street,fire_narrow_street_ntpe,385,614,-229,172|172,狹小巷弄程度分佈|狹小巷弄程度分佈,防災都市(台北)|防災都市(雙北),82|24,623|238,|,@monthly,data.ntpc.gov.tw,unresolved urls=[] rids=['5e5bd1b4-b5fd-406b-84c4-ae2d70d2ba71'] pages=[] ntpc=[] moenv=[] | patched
