address,lon,lat
臺北市文山區興隆路三段48號1樓,121.555732135454,25.000227054115
臺北市松山區八德路三段12巷5弄14號1樓,121.55105260273,25.047555889491
臺北市信義區永吉路30巷178弄1號1樓,121.568606738732,25.04164941378
臺北市大安區復興南路一段76號1樓,121.543601006988,25.043895470465
臺北市士林區中山北路六段732號1樓,121.528027011793,25.115279026849
臺北市大同區重慶北路三段250之5號,121.513614764773,25.071126964851
臺北市中山區民權東路三段112號,121.545242938001,25.061882154579
臺北市中正區羅斯福路一段102號,121.520056911521,25.02994546901
臺北市大安區和平東路三段40號,121.547704702964,25.024487634666
臺北市士林區天母西路42號,121.525719473849,25.118357196971
臺北市信義區光復南路425號,121.557710767518,25.036050260549
臺北市萬華區桂林路53號,121.503292769894,25.038299502357
臺北市文山區興隆路一段13號,121.539317267732,25.004521396479
臺北市大安區信義路四段374號,121.555456873754,25.032931605835
臺北市北投區承德路七段384號,121.502265232383,25.119296724498
臺北市萬華區萬大路286號,121.500299508451,25.025448703685
臺北市士林區中正路351號,121.522341399231,25.094353060748
臺北市士林區中山北路六段748號,121.528232116964,25.115661367362
臺北市文山區木柵路三段82號,121.566822985917,24.988546746312
臺北市文山區興隆路三段9號,121.554885395595,25.000881471206
臺北市士林區承德路四段12巷35號,121.520310883187,25.08065179227
臺北市大安區羅斯福路四段1號,121.533700638234,25.01698105364
臺北市中山區長安東路一段53巷1之6號,121.526531269189,25.049075294911
臺北市中山區中山北路二段48巷7號B1(4號店鋪),121.521632956033,25.056035958992
臺北市內湖區安泰街31號一樓,121.618226599702,25.073527551756
臺北市內湖區康樂街136巷18弄1號1樓,121.618358866134,25.07179329408
臺北市文山區汀州路四段88號,121.537175859109,25.007838660389
臺北市北投區中央南路二段5號及7號,121.500480743975,25.126031528899
臺北市內湖區民權東路6段296巷68號,121.60888605826,25.070246707215
臺北市內湖區瑞光路５０２號１樓,121.56814891918,25.079246524293
"臺北市士林區社子街142,144號",121.505001472326,25.088451473344
臺北市北投區學園路2號,121.467618048874,25.132789199768
臺北市北投區學園路1號,121.466368139473,25.130085281623
臺北市松山區民權東路五段32號,121.5644213192,25.06284728882
臺北市松山區撫遠街394巷1號、3號,121.56553081318,25.064981732636
臺北市信義區虎林街242巷50號、52號,121.576560242836,25.035812549775
臺北市南港區南港路三段358、360號一樓,121.580339666092,25.051598869982
臺北市中正區北平西路3號 (微風台北車站2樓),121.517057698926,25.04717593782
臺北市中山區長春路176號 (近長春國賓影城),121.534113949879,25.054685201056
臺北市大安區師大路86巷1號1樓及B1,121.528256644476,25.023009731652
臺北市松山區南京東路五段82號,121.561324122158,25.051265719836
臺北市內湖區民善街88號 (家樂福內湖店 1F),121.575364899624,25.060140688466
臺北市中山區敬業三路20號B1 (美麗華B1美食街),121.556711979935,25.08292588642
臺北市文山區萬美街１段47號1+2樓,121.568775550261,25.002272825224
臺北市松山區八德路４段21號1樓,121.559019769337,25.048460422572
臺北市士林區承德路５段80號,121.514230902081,25.094632220033
臺北市中正區凱達格蘭大道2號B1,121.516388795488,25.039207248245
臺北市北投區立農街１段277號1樓,121.505957376913,25.119490681737
臺北市文山區興隆路４段72-2號、74巷2號、74巷4號,121.561721444269,24.984139934461
臺北市內湖區洲子街12號1樓,121.575042447809,25.078221124168
臺北市內湖區瑞光路406號1樓,121.570578832911,25.078081062566
臺北市內湖區基湖路35巷13號1樓,121.565584727361,25.079757191744
臺北市內湖區洲子街70號1樓,121.571943574386,25.079564156513
臺北市內湖區港墘路221巷41號1樓,121.575061223272,25.073310502373
臺北市信義區東興路67號1樓,121.566632465258,25.04693956815
臺北市中山區建國北路三段89號91號1樓,121.536815604911,25.065651412618
臺北市士林區克強路11及11-1號1樓,121.524526459325,25.108758758836
臺北市中山區敬業四路1號1樓,121.558378805201,25.08030981062
臺北市文山區木新路三段54號56號,121.564062399199,24.982568713975
臺北市松山區八德路三段20-2號,121.551219402603,25.048072172817
臺北市信義區基隆路一段141號1樓,121.565843476712,25.042982848847
臺北市士林區天福里天母東路８巷39號天母東路8巷41弄1號,121.531667942894,25.116364692858
臺北市內湖區金龍路219號217巷1號1樓,121.587027630727,25.088274542186
臺北市中正區思源街16號,121.530574020711,25.014307897079
臺北市內湖區星雲街17號17-1號,121.590643999171,25.078144095142
臺北市內湖區瑞光路196號,121.577066593607,25.074871841387
臺北市大同區重慶北路三段258、260、262號1樓,121.513613989531,25.071418612712
臺北市松山區塔悠路31號33號,121.571542454487,25.050679426405
臺北市中山區錦州街263號,121.534969323098,25.060378524969
臺北市內湖區民權東路六段180巷6號1樓,121.592649054524,25.068196284151
臺北市士林區忠誠路一段126號128號,121.529593913214,25.106678255192
臺北市信義區新仁里東興路57號,121.566640092789,25.047457024943
臺北市士林區延平北路五段269號271號1樓,121.509587154938,25.085240283458
臺北市文山區秀明路二段8號10號,121.574125557714,24.991624919241
臺北市文山區木新路二段212號及木新路二段218巷2號4號,121.568141983701,24.984274661798
臺北市內湖區瑞光路76巷59號1樓,121.580304355165,25.070148722767
臺北市大安區基隆路三段85號,121.544947224457,25.017413937029
臺北市內湖區民權東路六段123巷22號22之1號,121.592790496068,25.069744056631
臺北市松山區光復北路11巷44號,121.559552187826,25.049599020299
臺北市信義區大道路9號11號1樓,121.581582008666,25.042601514162
臺北市信義區信義路五段7號35樓,121.564789620025,25.033416708481
臺北市信義區永吉路32號34號,121.568953917161,25.045527175556
臺北市北投區立德路115號3樓,121.470335713341,25.126953760687
臺北市大安區羅斯福路三段333巷18號1樓20號1樓(部分),121.53260954813,25.017623624509
臺北市信義區松山路11號(地下一層商業空間C2號),121.578252465268,25.048455854435
臺北市中正區武昌街一段18號1樓,121.512515964691,25.044010889271
臺北市大安區愛國東路75號,121.527280938591,25.031702693101
臺北市北投區立農街二段155號1樓,121.513309311826,25.11965056654
臺北市大安區樂利路29號29-1號,121.551490935856,25.027421595154
臺北市士林區光華路26巷10號1樓,121.541617094326,25.137312661455
臺北市大安區敦化南路二段99號1樓,121.549183354503,25.028809050577
臺北市松山區南京東路五段206號1樓,121.564915683849,25.051189737884
臺北市中正區南海路50號,121.515313089599,25.032054523487
臺北市信義區松仁路162號164號1樓,121.568208179236,25.028385638738
臺北市內湖區陽光街288號1樓,121.575650806341,25.072861986734
臺北市中山區民生東路一段29、31、33號,121.525050712348,25.058150510324
臺北市士林區延平北路六段229號231號,121.504969256485,25.089351715152
臺北市文山區指南路一段34號36號1樓,121.569690945178,24.987601578704
臺北市大安區敦化南路一段247巷12號1樓,121.549961362756,25.038863311074
臺北市內湖區瑞光路583巷27號1樓,121.567917243376,25.080738880244
臺北市松山區復興北路313巷25號,121.546265614008,25.059059339137
臺北市信義區吳興街346號348號,121.566339517742,25.025831672841
臺北市士林區延平北路五段35號37號39號,121.510874146152,25.079838049212
